ano,mes,homicidio_doloso,vitimos_homicio_doloso,homicidio_doloso_acidente_transito,vitimas_homicidio_doloso_acidente_transito,homicidio_culposo_acidente_transito,homicidio_culposo_outros,tentativa_homicidio,lesao_corporal_doloso,lesao_corporal_culposa_acidente_transito,lesao_corporal_culposa_outros,latrocinio,vitimas_latrocinio,estupro,roubo_outros,roubo_veiculo,roubo_banco,roubo_carga,furto_outros,furto_veiculo,ocorrencias_porte_entorpecentes,ocorrencias_trafico_entorpecentes,ocorrencia_apreensao_entorpecentes,ocorrencia_porte_ilegal_armas,arma_fogo_apreendias,flagrantes_lavrados,infratores_apreendidos_flagrante,infratores_apreendido_mandato,pessoas_presas_flagrante,pessoas_presas_mandato,prisões_efetuadas,veiculos_recuperados,inqueritos_policiais_instaurados
2009,Jan,103,107,0,0,52,6,98,3157,1735,87,11,11,109,10187,3109,12,375,14216,3313,184,479,25,156,488,1676,184,33,2137,615,2016,2534,7334
2009,Fev,90,96,0,0,55,6,106,3159,1769,94,6,6,87,9960,3064,8,373,12086,3243,191,371,19,176,559,1758,155,21,2244,525,2011,2568,7236
2009,Mar,112,120,0,0,64,6,97,3622,2209,102,10,10,127,11005,3496,15,418,13847,3983,205,437,25,150,679,1888,179,37,2419,640,2183,2845,8113
2009,Abr,113,120,0,0,58,3,107,3124,2085,90,13,13,85,10379,3118,18,412,13990,3793,223,429,21,160,619,1832,150,18,2358,669,2137,2746,7997
2009,Mai,125,125,0,0,54,8,106,3109,2139,78,8,8,115,10865,3173,9,392,16061,3939,201,476,18,190,579,1947,136,27,2504,644,2253,2902,8644
2009,Jun,86,92,0,0,70,3,104,2807,2066,125,4,4,81,10893,3139,14,370,15802,3975,147,462,18,135,625,1842,190,12,2322,741,2181,2814,7773
2009,Jul,92,97,0,0,60,6,72,2820,1805,90,9,9,64,10982,3042,15,442,15243,3741,156,473,24,154,588,1789,166,14,2467,754,2112,2768,7768
2009,Ago,92,97,0,0,64,5,87,3062,2113,97,7,7,108,10448,2918,9,397,15621,3833,160,522,29,156,544,1873,203,19,2537,799,2244,2710,7865
2009,Set,94,97,0,0,65,3,96,3198,2042,93,11,12,159,9998,2879,14,398,14387,3607,154,476,27,136,478,1877,224,20,2354,681,2199,2632,7872
2009,Out,109,114,0,0,50,5,90,3260,2195,137,4,4,223,10169,2868,15,452,14734,3498,190,638,15,163,548,2039,196,19,2580,923,2581,2607,8272
2009,Nov,105,116,0,0,47,7,101,3921,2128,170,14,14,227,9371,2616,24,438,13801,3459,174,484,26,144,543,1831,195,31,2617,700,2189,2347,8371
2009,Dez,113,117,0,0,58,7,106,3583,2268,111,3,3,208,9082,2532,18,378,15793,2734,130,439,21,146,447,1808,172,20,2464,554,2164,2287,8123
2010,Jan,125,131,0,0,51,5,103,3184,1822,99,9,9,211,8546,2858,14,316,13526,3265,152,411,23,125,445,1589,154,18,2270,604,1913,2355,7262
2010,Fev,126,130,0,0,43,3,107,2977,1866,102,6,6,201,8382,2754,16,338,12278,3131,123,420,21,125,519,1597,145,13,2269,687,1916,2290,7555
2010,Mar,125,137,0,0,50,2,102,3238,2439,119,10,10,226,9809,3157,18,415,12303,3530,125,494,27,159,593,1873,183,28,2514,739,2224,2760,8321
2010,Abr,107,109,0,0,72,4,75,2952,2145,169,1,1,191,9291,2916,18,386,12092,3334,112,440,28,147,548,1744,185,33,2332,714,2115,2533,7964
2010,Mai,104,115,0,0,82,7,83,2804,2307,135,9,9,210,9687,2877,11,396,13925,3479,106,490,36,126,468,1784,161,25,2388,785,2159,2512,8035
2010,Jun,73,74,0,0,59,6,81,2758,2252,194,6,6,204,9330,2910,9,310,15424,3738,114,471,20,156,474,1723,161,16,2179,724,2098,2485,7689
2010,Jul,87,93,0,0,51,11,76,2738,2038,115,9,9,217,9789,2940,6,349,14873,3844,110,477,25,129,501,1746,212,37,2281,689,2117,2725,7383
2010,Ago,84,87,0,0,63,5,94,3025,2354,127,9,9,221,9464,2923,10,325,15928,4086,130,530,20,122,507,1894,223,26,2461,874,2357,2449,8317
2010,Set,98,104,0,0,62,6,100,3079,2252,134,9,9,232,9291,2847,12,371,15647,3965,146,494,30,102,431,1728,206,37,2251,652,2134,2503,7771
2010,Out,81,86,0,0,46,2,81,3096,2138,126,2,2,210,9411,2977,9,355,14586,4134,124,498,20,104,435,1741,195,14,2224,591,2083,2688,7901
2010,Nov,94,97,0,0,49,5,97,3117,2196,127,1,1,195,8881,2949,8,464,13945,3702,116,436,30,114,430,1703,186,30,2094,599,2038,2614,7916
2010,Dez,92,100,0,0,63,8,104,3478,2165,151,5,5,195,8888,2791,10,450,15654,2722,118,411,19,108,533,1624,164,12,2073,636,1981,2599,7928
2011,Jan,90,95,0,0,48,18,111,3348,1858,150,4,4,188,8380,2890,11,442,14388,3218,113,423,20,115,435,1641,166,19,2032,683,2004,2580,7433
2011,Fev,82,87,0,0,56,7,95,3489,2113,149,7,7,217,8603,3013,16,378,14994,3560,142,467,38,131,437,1798,203,11,2223,749,2237,2642,9329
2011,Mar,53,54,0,0,55,2,93,3329,2184,135,16,16,199,9371,3343,9,314,16140,3660,115,591,45,148,436,1999,167,23,2593,785,2447,2851,8281
2011,Abr,90,94,0,0,69,6,100,3350,2186,122,7,7,210,8829,2972,10,327,17326,3475,136,559,37,127,506,2001,176,26,2560,740,2359,2638,8035
2011,Mai,84,93,0,0,76,10,84,3237,2400,131,13,14,198,9767,3326,15,334,18066,3550,129,629,47,155,598,2062,250,34,2531,783,2501,2841,9632
2011,Jun,83,90,0,0,74,7,78,3013,2261,112,6,6,174,9078,3253,17,313,17258,3613,119,593,31,148,617,1939,200,23,2432,814,2303,2803,8561
2011,Jul,106,109,0,0,59,10,73,3067,2139,98,6,6,186,9311,3420,15,292,16218,3770,96,600,24,139,483,1838,173,28,2307,822,2151,3093,8496
2011,Ago,92,95,0,0,43,10,92,3525,2265,131,8,9,223,10306,3702,19,344,16973,3886,94,557,16,161,481,2073,133,18,2518,579,2033,3255,9545
2011,Set,69,71,0,0,66,12,82,3478,2193,126,4,4,231,9774,3573,8,385,16918,3987,106,544,21,139,472,1883,161,10,2512,685,1913,3315,8846
2011,Out,78,82,0,0,49,24,102,3514,2114,215,5,5,191,8862,3614,11,390,16765,3759,104,602,45,137,383,2076,122,21,2446,479,1955,3245,8356
2011,Nov,96,99,0,0,52,10,107,3512,1963,161,7,7,220,8817,3800,9,320,16836,3723,107,530,28,126,431,1669,180,12,2427,478,1785,3188,8389
2011,Dez,96,100,1,1,54,1,115,3955,2251,179,8,9,181,8611,3611,9,419,16370,2577,124,462,35,128,392,1904,187,7,2395,433,1822,2950,8555
2012,Jan,84,92,1,2,62,33,116,3564,1947,169,7,7,218,8582,3430,7,340,14638,3322,130,735,13,117,402,2207,190,8,2485,562,1974,3126,8627
2012,Fev,78,83,3,4,56,3,115,3864,2025,142,7,8,213,8836,3604,10,365,14434,3470,110,658,17,132,440,2122,195,6,2463,472,2178,3052,9658
2012,Mar,96,99,4,5,49,4,123,4283,2362,144,8,8,257,10152,4275,14,437,17243,4378,138,676,26,161,470,2305,221,5,2810,555,2301,3602,11457
2012,Abr,103,106,3,3,39,9,120,3673,2223,112,9,9,233,9600,4025,5,392,17287,3873,124,615,16,144,415,2233,228,10,2775,536,2286,3504,10996
2012,Mai,103,108,1,1,54,3,123,3551,2467,165,16,16,260,11113,4254,10,456,18348,3930,114,641,17,143,507,2563,302,27,2778,571,2281,3465,11857
2012,Jun,122,134,0,0,50,4,144,3213,2130,143,9,9,292,9934,3440,7,400,15562,3320,110,588,14,157,411,2217,232,8,2535,439,2069,3167,10845
2012,Jul,92,102,1,1,59,4,107,3357,2158,79,12,12,248,9616,3380,13,380,15793,3541,103,674,22,110,469,2111,216,18,2578,595,2149,3009,11615
2012,Ago,106,114,2,2,49,6,134,3778,2609,106,4,4,297,9813,3667,7,356,17386,4030,190,754,25,130,448,2473,250,7,2932,723,2329,3305,11963
2012,Set,134,143,3,3,75,4,104,3458,2432,93,12,12,300,9115,3292,13,263,16316,3365,157,666,30,141,526,2211,174,29,2562,619,2173,2950,10189
2012,Out,150,176,1,1,43,9,160,3882,2464,118,6,6,329,9237,3496,12,329,18060,3748,160,661,42,137,587,2195,176,32,2758,472,2205,3125,11155
2012,Nov,144,170,1,1,42,5,170,3360,2117,100,7,8,295,8426,3277,8,327,17155,3330,161,596,31,140,468,2163,182,45,2427,527,2133,2801,9901
2012,Dez,156,170,2,2,50,5,193,3808,2239,97,4,4,255,8620,3880,9,308,17206,2618,134,536,28,121,468,2224,179,39,2649,475,2028,2910,9505
2013,Jan,98,109,0,0,44,3,127,3391,1836,100,15,15,269,9463,3776,10,332,16627,3879,99,663,50,117,395,2408,200,79,2711,549,2224,3296,10390
2013,Fev,89,91,0,0,31,7,118,3430,1892,118,15,15,287,8928,3557,6,348,15025,3487,182,682,65,111,339,2485,220,67,2898,573,2525,3036,9107
2013,Mar,117,125,2,2,52,6,118,3752,2235,165,10,10,311,9732,4378,7,403,17234,4201,197,714,31,151,407,2765,290,55,2997,613,2783,3518,10036
2013,Abr,95,102,1,2,40,7,123,3365,2182,114,14,14,246,10391,4225,9,348,17247,4258,194,720,31,147,465,2544,233,54,3098,774,2990,3507,11083
2013,Mai,108,117,0,0,38,4,115,3300,2191,102,14,15,243,10373,4012,15,357,18030,3843,263,814,69,132,421,2796,335,131,3231,1300,3307,3256,10861
2013,Jun,107,115,3,3,58,3,113,3104,2023,82,9,10,265,10896,4183,12,363,16126,4348,194,575,29,110,427,2431,262,53,2988,732,2868,3304,10058
2013,Jul,83,85,1,1,47,0,114,2665,2134,88,11,11,213,11383,4237,11,378,16889,4316,146,562,33,110,440,2382,269,37,2875,690,2773,3310,9695
2013,Ago,78,88,0,0,56,1,114,2972,2227,93,11,11,251,11407,4257,17,437,17225,4361,194,594,47,112,604,2566,372,54,3050,728,2871,3396,9843
2013,Set,92,92,0,0,29,2,134,3132,2219,65,8,8,208,10669,4063,7,401,15956,4209,174,565,35,119,444,2367,344,28,2883,702,2738,3089,8951
2013,Out,108,117,3,3,47,5,136,2815,2440,92,12,12,217,11368,4393,9,411,18269,4563,162,527,40,109,443,2488,307,24,3118,750,2958,3380,9135
2013,Nov,101,110,2,2,43,3,122,2981,2176,104,10,11,197,10242,4550,8,348,16663,4055,200,542,44,111,417,2455,305,42,3038,650,2808,3199,9376
2013,Dez,99,104,2,2,34,3,125,3110,2220,86,11,11,196,11674,5082,11,455,16014,2957,188,446,30,122,391,2350,290,17,2816,596,2629,3402,8519
2014,Jan,100,104,0,0,44,1,133,3131,1866,98,14,14,219,13416,4635,6,445,16453,4049,233,508,41,108,445,2332,310,31,2853,654,2643,3648,9855
2014,Fev,86,95,0,0,39,2,116,3041,1996,131,13,13,230,13171,4588,9,430,14900,4253,234,480,41,110,346,2250,334,48,2788,639,2567,3366,9761
2014,Mar,103,110,0,0,38,2,104,2953,2078,64,9,9,189,14137,4645,9,387,15464,4286,160,508,35,124,428,2472,350,61,3022,644,2791,3620,8941
2014,Abr,94,98,0,0,49,5,102,2663,2197,108,16,16,205,13909,4512,4,387,17278,4433,184,434,27,129,465,2339,345,56,2830,669,2662,3669,9122
2014,Mai,84,85,1,1,53,5,108,2482,2219,113,12,13,196,14716,4159,4,461,17806,4505,205,576,23,101,433,2332,308,69,2826,742,2766,3446,9508
2014,Jun,93,96,2,2,49,4,108,2854,2020,86,12,13,174,13185,3881,6,361,16996,3843,118,529,42,120,359,2372,288,50,2901,644,2702,3286,9112
2014,Jul,86,94,0,0,48,3,96,2380,1980,58,6,6,169,13689,3749,7,430,15832,4042,250,635,41,122,407,2453,357,78,2923,794,2887,3349,9443
2014,Ago,84,88,4,4,47,3,109,2375,2185,88,13,13,203,13027,3722,5,381,15515,4308,311,682,47,100,319,2312,313,48,2782,847,2709,3360,9301
2014,Set,98,108,8,11,38,3,100,2753,2239,81,13,14,176,12794,3633,7,396,15613,4472,259,609,48,104,346,2204,354,37,2767,781,2592,3380,8891
2014,Out,112,119,3,4,43,6,121,2844,2325,75,17,17,184,13595,3846,10,451,15633,4587,327,690,57,104,364,2527,318,26,3094,614,2784,3344,8988
2014,Nov,87,89,1,1,36,12,112,2658,2089,66,12,12,180,12338,3940,12,459,14746,4191,237,473,47,93,477,2160,323,45,2675,663,2489,3258,8193
2014,Dez,105,112,2,3,54,3,119,2518,1846,94,10,10,167,12233,4034,7,504,14481,2734,148,397,30,91,394,2073,279,29,2524,583,2351,3200,7780
2015,Jan,97,102,0,0,26,2,112,2675,1680,85,9,9,181,13188,3691,7,514,13387,3818,155,431,33,94,413,2223,245,27,2675,626,2528,3405,8323
2015,Fev,93,98,1,1,30,3,70,2396,1574,68,8,8,163,12393,3261,10,431,12931,3611,241,506,51,109,363,2157,269,34,2591,586,2428,3188,8017
2015,Mar,103,114,0,0,49,4,79,2592,2004,83,12,12,197,14217,3376,7,533,16226,4253,291,661,73,148,469,2605,319,54,3062,818,3026,3352,9523
2015,Abr,81,97,0,0,31,3,86,2351,1756,88,9,9,167,12947,3214,12,463,15233,3805,335,627,68,125,392,2408,327,30,2895,871,2767,2952,7835
2015,Mai,83,84,1,1,39,2,83,2142,1886,71,13,14,164,12196,2843,4,395,14858,3587,416,660,61,106,353,2530,352,55,3084,835,2941,3060,8532
2015,Jun,73,74,4,5,36,0,73,2053,2040,77,7,7,162,11839,2596,7,323,15005,3305,556,685,60,112,273,2484,321,56,3004,780,2863,2732,8990
2015,Jul,69,75,1,1,28,2,73,2097,1842,68,6,7,189,12679,2796,7,339,15371,3643,573,609,66,102,327,2588,362,38,3110,1290,2922,2882,8739
2015,Ago,67,69,2,2,36,1,99,2445,1862,71,10,10,176,12489,2770,8,307,14450,3763,786,634,45,111,372,2690,379,42,3185,949,3048,2725,8919
2015,Set,78,82,2,2,21,2,87,2522,1703,76,9,9,170,12489,2957,6,370,14316,3667,777,553,49,105,507,2542,403,6,3044,845,2802,2779,8183
2015,Out,69,73,1,1,35,1,94,2524,1645,91,14,14,184,13719,3404,5,417,15569,3815,1213,585,45,100,327,2634,470,37,3169,961,2976,2952,8536
